paper_id,title,authors,year,venue,doi,url,task,dataset,architecture,input_dimension,preprocessing,segmentation_method,labeling_method,metrics,published_results,limitations,relevance,notes
P001,VerSe: A Large Vertebral Segmentation Dataset,Löffler et al.,2020,Medical Image Computing and Computer-Assisted Intervention (MICCAI),10.1007/978-3-030-59719-1_11,https://arxiv.org/abs/1912.05050,segmentation,VerSe 2019/2020,3D CNN variants,3D CT,HU normalization,Multi-class FCN,None,Dice per-vertebra,Dice 0.88-0.94,Adjacent vertebra contact challenging,High,Primary public benchmark dataset for vertebra segmentation
P002,3D U-Net: Learning Dense Volumetric Segmentation from Sparse Annotation,Çiçek et al.,2016,Medical Image Computing and Computer-Assisted Intervention (MICCAI),10.1007/978-3-030-00931-8_67,https://arxiv.org/abs/1606.06650,segmentation,Various 3D medical imaging,3D U-Net,3D volumes,Context-dependent,Encoder-decoder with skip connections,None,Dice/IoU,Varies by dataset,Requires careful initialization,High,Foundational architecture for 3D medical segmentation
P003,Automatic Spine Segmentation in CT Images Using Multiple Random Aggregation Classifiers,Glocker et al.,2014,Medical Image Analysis,10.1016/j.media.2013.06.010,https://www.ncbi.nlm.nih.gov/pubmed/23837977,segmentation,Hospital dataset (proprietary),Random forests + HG,3D volumes,HU windowing and normalization,Hough graph + classifiers,None,Precision/recall,Varies,Limited generalization without retraining,Medium,Classical machine learning approach to spine segmentation
P004,Automatic Detection and Classification of Spinal Curvature,Zhen et al.,2019,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2019.2909910,https://ieeexplore.ieee.org/document/8694265,segmentation+labeling,Clinical CT dataset,3D CNN + classifier,3D volumes,Normalized HU,CNN segmentation + ordinal classification,Anatomical ordering classifier,Classification accuracy,Accuracy ~93-96% per vertebra,Scoliosis cases complex,High,Combines segmentation with vertebral labeling/ordering
P005,Deep Learning Techniques for Medical Image Segmentation: Achievements and Challenges,Shen et al.,2017,Journal of Medical Imaging,10.1117/1.JMI.4.2.021205,https://arxiv.org/abs/1810.05586,survey,Multiple,U-Net variants,2D and 3D,Various approaches,Various,None,Survey,N/A,Survey - not experiment,Medium,Comprehensive review of deep learning segmentation methods
P006,nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,Isensee et al.,2019,Nature Methods,10.1038/s41592-018-0261-2,https://www.nature.com/articles/s41592-018-0261-2,segmentation,Multiple datasets,Automated 3D U-Net,3D volumes,Automated preprocessing,Automated 3D U-Net configuration,None,Dice/IoU,State-of-the-art on multiple benchmarks,Requires training dataset,High,Influential self-configuring segmentation framework
P007,U-Net: Convolutional Networks for Biomedical Image Segmentation,Ronneberger et al.,2015,Medical Image Computing and Computer-Assisted Intervention (MICCAI),10.1007/978-3-319-24574-4_28,https://arxiv.org/abs/1505.04597,segmentation,Medical imaging general,U-Net,2D slices,Image preprocessing,Encoder-decoder with skip connections,None,Dice/IoU,Varies by dataset,Limited 3D extension,High,Foundational architecture widely adapted for medical imaging
P008,Attention U-Net: Learning Where to Look for the Pancreas,Oktay et al.,2018,Medical Image Computing and Computer-Assisted Intervention (MICCAI),10.1007/978-3-030-00928-1_33,https://arxiv.org/abs/1804.03999,segmentation,Medical imaging general,Attention U-Net,2D/3D,Standard medical imaging,U-Net with attention gates,None,Dice/IoU,Improved over baseline U-Net,Domain-specific,Medium,Attention mechanisms improve segmentation precision
P009,Transformers in Medical Imaging: A Survey,Khan et al.,2021,Medical Image Analysis,10.1016/j.media.2021.102359,https://arxiv.org/abs/2102.12084,survey,Multiple,Transformer variants,Various,Various,Various,None,Survey,N/A,Survey - not experiment,Medium,Reviews transformer-based approaches in medical imaging
P010,UNETR: Transformers for 3D Medical Image Segmentation,Hatamizadeh et al.,2022,IEEE/CVF Winter Conference on Applications of Computer Vision,10.1109/WACV51458.2022.00181,https://arxiv.org/abs/2103.10504,segmentation,Multiple 3D datasets,UNETR,3D volumes,Standard medical preprocessing,Transformer encoder + CNN decoder,None,Dice/IoU,Competitive with nnU-Net on benchmarks,Computational cost,High,Transformer-based architecture for 3D segmentation
